AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
483;4;DHC8-100 DASH 8;DEHAVILLAND;DEHAVILLAND DHC8-100 DASH-8;DASH8-1;1-1-1990;
484;4;DHC8-300 DASH 8;DEHAVILLAND;DEHAVILLAND DHC8-300 DASH 8;DHC8-300;1-1-1990;
485;4;DEHAVILLAND DHC-6;DEHAVILLAND;DEHAVILLAND TWIN OTTER DHC-6;DHC-6;1-1-1990;
570;5;DEHAVILLAND DASH-7;DEHAVILLAND;DEHAVILLAND DHC7 DASH-7;DASH-7;1-1-1990;
40;0;DEHAVILLAND DHC2;DEHAVILLAND OF CANADA;DEHAVILLAND DHC2 BEAVER;BEAVER;1-1-1990;
42;0;DEHAVILLAND DHC3;DEHAVILLAND OF CANADA;DEHAVILLAND DHC3 OTTER;OTTER;1-1-1990;
153;4;DHC4 CARIBOU;DEHAVILLAND OF CANADA;DEHAVILLAND DHC4 CARIBOU;CARIBOU;1-1-1990;
174;2;DOVE DH-104;DEHAVILLAND OF CANADA;DEHAVILLAND DOVE DH-104;DOVE;1-1-1990;
205;4;DH-114 HERON;DEHAVILLAND OF CANADA;DEHAVILLAND DH-114 HERON;HERON;1-1-1990;
161;4;DORNIER DO-28;DORNIER;DORNIER DO-28 SKYSERVANT;DO-28;1-1-1990;
448;4;DORNIER 228;DORNIER;DORNIER 228;DO-228;1-1-1990;
461;4;EMB-120 BRASILIA;EMBRAER;EMBRAER EMB-120 BRASILIA;EMB-120;1-1-1990;
464;4;EMBRAER BANDEIRNTE;EMBRAER;EMBRAER EMB-110 BANDEIRANTE;EMB-110;1-1-1990;
673;6;EMBRAER-175;EMBRAER;EMBRAER ERJ-175;ERJ-175;1-3-2004;
674;6;EMBRAER-135;EMBRAER;EMBRAER-135;EMB-135;1-1-1998;
675;6;EMBRAER-145;EMBRAER;EMBRAER-145;EMB-145;1-1-1996;
676;6;EMBRAER-140;EMBRAER;EMBRAER-140;EMB-140;1-1-2001;
677;6;EMB-170/EMB-175;EMBRAER;EMB-170/EMB-175;EMB-170;1-3-2004;
678;6;EMBRAER 190;EMBRAER;EMBRAER 190;EMB-190;1-12-2005;
755;6;EMBRAER LEGACY 600;EMBRAER;EMBRAER LEGACY 600;LEG-600;1-6-2015;
833;6;EMB LEGACY 650;EMBRAER ;EMBRAER LEGACY 650;LEG-650;1-10-2016;
167;4;FAIRCHILD C-82A;FAIRCHILD;FAIRCHILD C-82A;C-82A;1-1-1990;
455;4;FAIRCHILD METRO 23;FAIRCHILD ;FAIRCHILD METRO 23;METRO 23;1-10-2002;
449;4;DORNIER 328;FAIRCHILD DORNIER;DORNIER 328;DO-328;1-6-1993;
632;6;DORNIER 328 JET;FAIRCHILD DORNIER;DORNIER 328 JET;DO-328 J;1-1-2001;
466;4;SWEARINGEN METRO 2;FAIRCHILD SWEARINGEN;SWEARINGEN METRO II;METRO2;1-1-1990;
467;4;SWEARINGEN METRO 3;FAIRCHILD SWEARINGEN;SWEARINGEN METRO III;METRO3;1-1-1990;
323;3;FAIRCHILD FH-1100;FAIRCHILD-HILLER;FAIRCHILD-HILLER FH-1100;FH-1100;1-1-1990;
454;4;FH-227;FAIRCHILD-HILLER;FAIRCHILD-HILLER FH-227;FH-227;1-1-1990;
452;4;FOKKER 50;FOKKER;FOKKER 50;FOKKER50;1-1-1990;
601;6;FOKKER F28-1000;FOKKER;FOKKER F28-1000 FELLOWSHIP;F28-1000;1-1-1990;
602;6;F28-4000/6000;FOKKER;FOKKER F28-4000/6000 FELLOWSHIP;F28-4000;1-1-1990;
