code|name|updated
CN1|Cessna light aircraft - single piston engine|2015-10-05T22:27:42+02:00
CNA|Cessna Light Aircraft|2015-10-05T22:27:42+02:00
CNC|Cessna light aircraft - single turboprop engine|2015-10-05T22:27:42+02:00
CNJ|Cessna Citation|2015-10-05T22:27:42+02:00
CNT|Cessna light aircraft - twin turboprop engines|2015-10-05T22:27:42+02:00
CR1|Canadair Regional Jet 100|2015-10-05T22:27:42+02:00
CR2|Canadair Regional Jet 200|2015-10-05T22:27:42+02:00
CR7|Canadair Regional Jet 700|2015-10-05T22:27:42+02:00
CR9|Canadair Regional Jet 900|2015-10-05T22:27:42+02:00
CRA|Canadair Regional Jet 705|2015-10-05T22:27:42+02:00
CRJ|Canadair Regional Jet|2015-10-05T22:27:42+02:00
CRV|Aerospatiale/SUD SE210 Caravelle|2015-10-05T22:27:42+02:00
CS2|CASA/IPTN CN-212 Aviocar|2015-10-05T22:27:42+02:00
CS5|CASA/IPTN CN-235|2015-10-05T22:27:42+02:00
CV5|Convair 580|2015-10-05T22:27:42+02:00
CVF|Convair 580/600/640 Freighter|2015-10-05T22:27:42+02:00
CVR|Convair 240/440/580|2015-10-05T22:27:42+02:00
CWC|Curtiss C-46 Commando|2015-10-05T22:27:42+02:00
D10|Boeing/McDonnell Douglas DC-10|2015-10-05T22:27:42+02:00
D11|Boeing/McDonnell Douglas DC-10-10/15|2015-10-05T22:27:42+02:00
D1C|Boeing/McDonnell Douglas DC-10-30/40|2015-10-05T22:27:42+02:00
D1F|Boeing/McDonnell Douglas DC-10 Freighter|2015-10-05T22:27:42+02:00
D1X|Boeing/McDonnell Douglas DC-10-10 Freighter|2015-10-05T22:27:42+02:00
D1Y|Boeing/McDonnell Douglas DC-10-30/40 Freighter|2015-10-05T22:27:42+02:00
D28|Fairchild Dornier Do-228|2015-10-05T22:27:42+02:00
D38|Fairchild Dornier Do-328|2015-10-05T22:27:42+02:00
D3F|Boeing/Douglas DC-3 Freighter|2015-10-05T22:27:42+02:00
D6F|Boeing/Douglas DC-6A/B/C Freighter|2015-10-05T22:27:42+02:00
D8F|Boeing/McDonnell Douglas DC-8 Freighter|2015-10-05T22:27:42+02:00
D8L|Boeing/McDonnell Douglas DC-8-62|2015-10-05T22:27:42+02:00
D8M|Boeing/McDonnell Douglas DC-8 Combi|2015-10-05T22:27:42+02:00
D8Q|Boeing/McDonnell Douglas DC-8-72|2015-10-05T22:27:42+02:00
D8T|Boeing/McDonnell Douglas DC-8-50 Freighter|2015-10-05T22:27:42+02:00
D8X|Boeing/McDonnell Douglas DC-8-61/62/63 Freighter|2015-10-05T22:27:42+02:00
D8Y|Boeing/McDonnell Douglas DC-8-71/72/73 Freighter|2015-10-05T22:27:42+02:00
D91|Boeing/McDonnell Douglas DC-9-10|2015-10-05T22:27:42+02:00
